Team;Elo;Date
Roma;1715,807007;2021-11-04
Lazio;1703,545532;2021-11-04
Sassuolo;1667,857056;2021-11-04
Fiorentina;1633,990845;2021-11-04
Hellas Verona;1607,247803;2021-11-04
Udinese;1582,458984;2021-11-04
Torino;1595,644897;2021-11-04
Sampdoria;1599,796997;2021-11-04
Bologna;1595,842285;2021-11-04
Cagliari;1534,155762;2021-11-04
Empoli;1553,436523;2021-11-04
Genoa;1563,114258;2021-11-04
Spezia;1502,310547;2021-11-04
Venezia;1475,980225;2021-11-04
Salernitana;1451,800049;2021-11-04
Milan;1816,269165;2021-11-05
Juventus;1820,931885;2021-11-05
Internazionale;1872,720703;2021-11-05
Atalanta;1806,58252;2021-11-05
Napoli;1825,519897;2021-11-05
Roma;1711,053833;2021-11-05
Lazio;1705,093994;2021-11-05
Sassuolo;1667,966919;2021-11-05
Fiorentina;1634,100586;2021-11-05
Hellas Verona;1607,357544;2021-11-05
Udinese;1582,568726;2021-11-05
Torino;1595,754761;2021-11-05
Sampdoria;1599,90686;2021-11-05
Bologna;1595,952026;2021-11-05
Cagliari;1534,265625;2021-11-05
Empoli;1553,546265;2021-11-05
Genoa;1563,224121;2021-11-05
Spezia;1502,42041;2021-11-05
Venezia;1476,090088;2021-11-05
Salernitana;1451,90979;2021-11-05
Empoli;1552,575195;2021-11-06
Genoa;1564,19519;2021-11-06
Juventus;1823,978516;2021-11-07
Atalanta;1809,475708;2021-11-07
Fiorentina;1631,053955;2021-11-07
Hellas Verona;1607,357544;2021-11-07
Torino;1586,503662;2021-11-07
Cagliari;1531,372437;2021-11-07
Spezia;1511,671387;2021-11-07
Milan;1816,663818;2021-11-08
Internazionale;1872,32605;2021-11-08
Napoli;1819,162964;2021-11-08
Roma;1698,273071;2021-11-08
Lazio;1708,744507;2021-11-08
Sassuolo;1658,830078;2021-11-08
Fiorentina;1631,053955;2021-11-08
Hellas Verona;1613,714478;2021-11-08
Udinese;1591,705566;2021-11-08
Sampdoria;1590,763062;2021-11-08
Bologna;1605,095825;2021-11-08
Venezia;1488,87085;2021-11-08
Salernitana;1448,259155;2021-11-08
Sassuolo;1658,830078;2021-11-20
Hellas Verona;1613,714478;2021-11-20
Milan;1805,116089;2021-11-21
Juventus;1832,677246;2021-11-21
Internazionale;1872,32605;2021-11-21
Atalanta;1812,205078;2021-11-21
Lazio;1700,045776;2021-11-21
Fiorentina;1642,601807;2021-11-21
Hellas Verona;1613,714478;2021-11-21
Spezia;1508,942139;2021-11-21
Internazionale;1877,807129;2021-11-22
Napoli;1813,681885;2021-11-22
Roma;1706,115234;2021-11-22
Lazio;1700,045776;2021-11-22
Sassuolo;1654,244751;2021-11-22
Fiorentina;1642,601807;2021-11-22
Sampdoria;1598,556885;2021-11-22
Bologna;1593,123901;2021-11-22
Cagliari;1535,957642;2021-11-22
Genoa;1556,352905;2021-11-22
Venezia;1500,842773;2021-11-22
Salernitana;1440,465454;2021-11-22
Fiorentina;1642,601807;2021-11-23
Hellas Verona;1619,045166;2021-11-23
Udinese;1584,616333;2021-11-23
Torino;1593,592896;2021-11-23
Empoli;1547,244507;2021-11-23
Milan;1801,739258;2021-11-24
Juventus;1821,69165;2021-11-24
Internazionale;1874,430298;2021-11-24
Atalanta;1806,492065;2021-11-24
Napoli;1810,305054;2021-11-24
Roma;1702,738403;2021-11-24
Lazio;1696,668945;2021-11-24
Sassuolo;1650,86792;2021-11-24
Fiorentina;1639,224976;2021-11-24
Hellas Verona;1615,668335;2021-11-24
Udinese;1581,239502;2021-11-24
Torino;1590,216064;2021-11-24
Sampdoria;1595,180054;2021-11-24
Bologna;1589,74707;2021-11-24
Cagliari;1532,580811;2021-11-24
Empoli;1543,867676;2021-11-24
Genoa;1552,976074;2021-11-24
Spezia;1505,565308;2021-11-24
Venezia;1497,465942;2021-11-24
Salernitana;1437,088623;2021-11-24
Milan;1813,489868;2021-11-25
Juventus;1822,08252;2021-11-25
Internazionale;1878,346924;2021-11-25
Atalanta;1806,883057;2021-11-25
Napoli;1796,971313;2021-11-25
Roma;1703,129395;2021-11-25
Lazio;1697,059937;2021-11-25
Sassuolo;1651,258789;2021-11-25
Fiorentina;1639,615845;2021-11-25
Hellas Verona;1616,059326;2021-11-25
Udinese;1581,630493;2021-11-25
Torino;1590,607056;2021-11-25
Sampdoria;1595,570923;2021-11-25
Bologna;1590,138062;2021-11-25
Cagliari;1532,971802;2021-11-25
Empoli;1544,258545;2021-11-25
Genoa;1553,367065;2021-11-25
Spezia;1505,956177;2021-11-25
Venezia;1497,856812;2021-11-25
Salernitana;1437,479492;2021-11-25
Milan;1818,684326;2021-11-26
Juventus;1827,276978;2021-11-26
Internazionale;1883,541382;2021-11-26
Atalanta;1812,077515;2021-11-26
Napoli;1802,165771;2021-11-26
Roma;1713,501221;2021-11-26
Lazio;1712,578613;2021-11-26
Sassuolo;1656,453247;2021-11-26
Fiorentina;1644,810303;2021-11-26
Hellas Verona;1621,253784;2021-11-26
Udinese;1586,824951;2021-11-26
Torino;1595,801514;2021-11-26
Sampdoria;1600,765381;2021-11-26
Bologna;1595,33252;2021-11-26
Cagliari;1538,16626;2021-11-26
Empoli;1549,453003;2021-11-26
Genoa;1558,561523;2021-11-26
Spezia;1511,150635;2021-11-26
Venezia;1503,05127;2021-11-26
Salernitana;1442,67395;2021-11-26
Hellas Verona;1621,253784;2021-11-27
Cagliari;1534,36377;2021-11-27
Salernitana;1446,476563;2021-11-27
Milan;1818,684326;2021-11-28
Juventus;1817,797119;2021-11-28
Internazionale;1885,900513;2021-11-28
Atalanta;1821,557373;2021-11-28
Sassuolo;1656,453247;2021-11-28
Fiorentina;1635,479858;2021-11-28
Hellas Verona;1610,815674;2021-11-28
Torino;1595,801514;2021-11-28
Sampdoria;1611,203613;2021-11-28
Empoli;1558,783569;2021-11-28
Venezia;1500,692261;2021-11-28
Milan;1800,491699;2021-11-29
Juventus;1817,797119;2021-11-29
